Duration,Pulse,Maxpulse,Calories,Date
60,118,151,486,2/20/24 10:40 AM
30,136,175,238,2/21/24 10:40 AM
60,121,146,450.7,2/22/24 10:40 AM
60,118,121,413,2/23/24 10:40 AM
45,115,144,305,2/24/24 10:40 AM
20,153,172,226.4,2/25/24 10:40 AM
45,123,152,321,2/26/24 10:40 AM
210,108,160,1376,2/27/24 10:40 AM
160,110,137,1034.4,2/28/24 10:40 AM
160,109,135,853,2/29/24 10:40 AM
45,118,141,341,3/1/24 10:40 AM
20,110,130,131.4,3/2/24 10:40 AM
180,90,130,800.4,3/3/24 10:40 AM
150,105,135,873.4,3/4/24 10:40 AM
150,107,130,816,3/5/24 10:40 AM
20,106,136,110.4,3/6/24 10:40 AM
300,108,143,1500.2,3/7/24 10:40 AM
150,97,129,1115,3/8/24 10:40 AM
60,109,153,387.6,3/9/24 10:40 AM
90,100,127,700,3/10/24 10:40 AM
150,97,127,953.2,3/11/24 10:40 AM
45,114,146,304,3/12/24 10:40 AM
90,98,125,563.2,3/13/24 10:40 AM
45,105,134,251,3/14/24 10:40 AM
45,110,141,300,3/15/24 10:40 AM
120,100,130,500.4,3/16/24 10:40 AM
270,100,131,1729,3/17/24 10:40 AM
30,159,182,319.2,3/18/24 10:40 AM
45,149,169,344,3/19/24 10:40 AM
30,103,139,151.1,3/20/24 10:40 AM
120,100,130,500,3/21/24 10:40 AM
45,100,120,225.3,3/22/24 10:40 AM
30,151,170,300,3/23/24 10:40 AM
45,102,136,234,3/24/24 10:40 AM
120,100,157,1000.1,3/25/24 10:40 AM
45,129,103,242,3/26/24 10:40 AM
20,83,107,50.3,3/27/24 10:40 AM
180,101,127,600.1,3/28/24 10:40 AM
45,,137,,3/29/24 10:40 AM
30,90,107,105.3,3/30/24 10:40 AM
15,80,100,50.5,3/31/24 10:40 AM
20,150,171,127.4,4/1/24 10:40 AM
20,151,168,229.4,4/2/24 10:40 AM
30,95,128,128.2,4/3/24 10:40 AM
25,152,168,244.2,4/4/24 10:40 AM
30,109,131,188.2,4/5/24 10:40 AM
90,93,124,604.1,4/6/24 10:40 AM
20,95,112,77.7,4/7/24 10:40 AM
90,90,110,500,4/8/24 10:40 AM
90,90,100,500,4/9/24 10:40 AM
90,90,100,500.4,4/10/24 10:40 AM
30,92,108,92.7,4/11/24 10:40 AM
30,93,128,124,4/12/24 10:40 AM
180,90,120,800.3,4/13/24 10:40 AM
30,90,120,86.2,4/14/24 10:40 AM
90,90,120,500.3,4/15/24 10:40 AM
210,137,184,1860.4,4/16/24 10:40 AM
60,102,124,325.2,4/17/24 10:40 AM
45,107,124,275,4/18/24 10:40 AM
15,124,139,124.2,4/19/24 10:40 AM
45,100,120,225.3,4/20/24 10:40 AM
60,108,131,367.6,4/21/24 10:40 AM
60,108,151,351.7,4/22/24 10:40 AM
60,116,141,443,4/23/24 10:40 AM
60,97,122,277.4,4/24/24 10:40 AM
60,105,125,,4/25/24 10:40 AM
60,103,124,332.7,4/26/24 10:40 AM
30,112,137,193.9,4/27/24 10:40 AM
45,100,120,100.7,4/28/24 10:40 AM
60,119,169,336.7,4/29/24 10:40 AM
60,107,127,344.9,4/30/24 10:40 AM
60,111,151,368.5,5/1/24 10:40 AM
60,98,122,271,5/2/24 10:40 AM
60,97,124,275.3,5/3/24 10:40 AM
60,109,127,382,5/4/24 10:40 AM
90,99,125,466.4,5/5/24 10:40 AM
60,114,151,384,5/6/24 10:40 AM
60,104,134,342.5,5/7/24 10:40 AM
60,107,138,357.5,5/8/24 10:40 AM
60,103,133,335,5/9/24 10:40 AM
60,106,132,327.5,5/10/24 10:40 AM
60,103,136,339,5/11/24 10:40 AM
20,136,156,189,5/12/24 10:40 AM
45,117,143,317.7,5/13/24 10:40 AM
45,115,137,318,5/14/24 10:40 AM
45,113,138,308,5/15/24 10:40 AM
20,141,162,222.4,5/16/24 10:40 AM
60,108,135,390,5/17/24 10:40 AM
60,97,127,,5/18/24 10:40 AM
45,100,120,250.4,5/19/24 10:40 AM
45,122,149,335.4,5/20/24 10:40 AM
60,136,170,470.2,5/21/24 10:40 AM
45,106,126,270.8,5/22/24 10:40 AM
60,107,136,400,5/23/24 10:40 AM
60,112,146,361.9,5/24/24 10:40 AM
30,103,127,185,5/25/24 10:40 AM
60,110,150,409.4,5/26/24 10:40 AM
60,106,134,343,5/27/24 10:40 AM
60,109,129,353.2,5/28/24 10:40 AM
60,109,138,374,5/29/24 10:40 AM
30,150,167,275.8,5/30/24 10:40 AM
60,105,128,328,5/31/24 10:40 AM
60,111,151,368.5,6/1/24 10:40 AM
60,97,131,270.4,6/2/24 10:40 AM
60,100,120,270.4,6/3/24 10:40 AM
60,114,150,382.8,6/4/24 10:40 AM
30,80,120,240.9,6/5/24 10:40 AM
30,85,120,250.4,6/6/24 10:40 AM
45,90,130,260.4,6/7/24 10:40 AM
45,95,130,270,6/8/24 10:40 AM
45,100,140,280.9,6/9/24 10:40 AM
60,105,140,290.8,6/10/24 10:40 AM
60,110,145,300,6/11/24 10:40 AM
60,115,145,310.2,6/12/24 10:40 AM
75,120,150,320.4,6/13/24 10:40 AM
75,125,150,330.4,6/14/24 10:40 AM
